clase,for_name,loc_name,barra_for_name,sgn_MVA,cosn,P_desp_MW,Q_desp_Mvar,P_actual_MW,Q_actual_Mvar,Qmin_actual_Mvar,Qmax_actual_Mvar,q_min_pu,q_max_pu,curva_capacidad,curva_tiene_puntos,av_mode,usetp_pu,ngnum,outserv
sym,G4PALAM1,Palamara Grupo 1,,13.458000183105469,0.800000011920929,10.766400337219238,0.0,38.24000063615342,-2.600000001962144e-06,-6.5,8.000000953674316,-1.0,1.0,,,constv,0.9900000095367432,4,0
sym,G4PALAM2,Palamara Grupo 2,,13.458000183105469,0.800000011920929,10.766400337219238,0.0,19.120000318076713,-1.300000000981072e-06,-6.5,8.000000953674316,-1.0,1.0,,,constv,1.0,2,0
sym,G4PALAM3,Palamara Grupo 3,,13.458000183105469,0.800000011920929,1.8279000520706177,0.0,14.661906392133465,-2.5999820048028255e-06,-6.5,8.000000953674316,-1.0,1.0,,,constv,0.9900000095367432,4,0
sym,G5EMA3G1,EDM3 TG1,WEM31K,63.70000076293945,0.800000011920929,48.0,0.0,49.99999923152298,2.2760311744323722,-26.753999710083008,38.220001220703125,-1.0,1.0,,,constv,0.9480000138282776,1,0
sym,G5EMA3G2,EDM3 TG2,WEM32K,63.70000076293945,0.800000011920929,48.0,0.0,49.99999923152297,2.2760311744323687,-26.753999710083008,38.220001220703125,-1.0,1.0,,,constv,0.9480000138282776,1,0
sym,G5EMAR3V,EDM3 TV,WEM33K,60.40999984741211,0.800000011920929,48.0,0.0,48.00000123774409,2.1584778846684003,-25.37220001220703,36.246002197265625,-1.0,1.0,,,constv,1.0,1,0
sym,G4IKM22,INCA km 22 Grupo 1,,5.414000034332275,0.800000011920929,4.331200122833252,0.0,7.999999715228471,4.440892098500626e-16,-2.436300039291382,3.2484002113342285,-1.0,1.0,,,constq,1.0,2,0
sym,G5IKM22,INCA km 22 Grupo 2,,7.605000019073486,0.800000011920929,5.737599849700928,0.0,5.737599849700927,4.440892098500626e-16,-3.4222500324249268,4.563000202178955,-1.0,1.0,,,constq,1.0,1,0
sym,G3PCATA1,Punta Catalina 1,WPCA1K,460.0,0.8500000238418579,339.989990234375,164.66468811035156,347.3402964182252,133.03102907865926,-190.0,248.0,-1.0,1.0,,,constv,1.0499999523162842,1,0
sym,G3PCATA2,Punta Catalina 2,WPCA2K,460.0,0.8500000238418579,359.989990234375,174.3511199951172,366.0000107428609,142.71746096342338,-190.0,248.0,-1.0,1.0,,,constv,1.0499999523162842,1,0
